Sample	Location	Floor	Type	Indoor.Outdoor	Air.out	Material	Temperature	Humidness	RNA	Notes	DNARNA	SampleName	Date	Month	Building	SampleName2	SampleSite	SampleSite2	SampleSite3	Season	SeasonBymonth	Group
231012_13A	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	24.9	54.2	No		DNA	231012_13A	231012	2310	SC	231012_13A-SCb1 Parking lot	13A	2310-13A	10-13A	Autumn	Autumn	Underground
231012_14A	SC Elevator	Elevator	Elevator	Indoor	no	metal	24.6	54	No		DNA	231012_14A	231012	2310	SC	231012_14A-SC Elevator	14A	2310-14A	10-14A	Autumn	Autumn	Elevator
231012_15A	SDb1 Parking lot	b1	Parking lot	Indoor	no	metal	24.6	54.4	No		DNA	231012_15A	231012	2310	SD	231012_15A-SDb1 Parking lot	15A	2310-15A	10-15A	Autumn	Autumn	Underground
231012_16A	SDb1 Parking lot	b1	Parking lot	Indoor	no	metal	24.8	54.5	No		DNA	231012_16A	231012	2310	SD	231012_16A-SDb1 Parking lot	16A	2310-16A	10-16A	Autumn	Autumn	Underground
231012_17A	SDb1 Parking lot	b1	Parking lot	Indoor	no	metal	25	54.3	No		DNA	231012_17A	231012	2310	SD	231012_17A-SDb1 Parking lot	17A	2310-17A	10-17A	Autumn	Autumn	Underground
231012_18A	SDb1	b1	Corridor	Indoor	no	metal	24.9	54.4	No		DNA	231012_18A	231012	2310	SD	231012_18A-SDb1	18A	2310-18A	10-18A	Autumn	Autumn	Underground
231012_19A	SB273	2	Common room	Indoor	no	metal	24.8	55.1	No		DNA	231012_19A	231012	2310	SB	231012_19A-SB273	19A	2310-19A	10-19A	Autumn	Autumn	Aboveground
231012_1A	SAb1 (By the elevator)	b1	Corridor	Indoor	no	plastic	24.6	52.6	No		DNA	231012_1A	231012	2310	SA	231012_1A-SAb1 (By the elevator)	1A	2310-1A	10-1A	Autumn	Autumn	Underground
231012_20A	SA169	2	Classroom	Indoor	no	metal	24.7	55	No		DNA	231012_20A	231012	2310	SA	231012_20A-SA169	20A	2310-20A	10-20A	Autumn	Autumn	Aboveground
231012_21A	SA Elevator	Elevator	Elevator	Indoor	no	metal	25.1	55.5	No		DNA	231012_21A	231012	2310	SA	231012_21A-SA Elevator	21A	2310-21A	10-21A	Autumn	Autumn	Elevator
231012_3A	SAb1	b1	Outdoor	Outdoor	no	plastic	24.1	53.7	No		DNA	231012_3A	231012	2310	SA	231012_3A-SAb1	3A	2310-3A	10-3A	Autumn	Autumn	Outdoor
231012_4A	SAb1 SA007	b1	Office	Indoor	no	plastic	24.7	54.3	No		DNA	231012_4A	231012	2310	SA	231012_4A-SAb1 SA007	4A	2310-4A	10-4A	Autumn	Autumn	Underground
231012_5A	SBb1 SB022 (in front of toilet door)	b1	Corridor	Indoor	no	plastic	24.7	54.9	No		DNA	231012_5A	231012	2310	SB	231012_5A-SBb1 SB022 (in front of toilet door)	5A	2310-5A	10-5A	Autumn	Autumn	Underground
231012_6A	SBb1 SB026	b1	Toilet (Male)	Indoor	yes	plastic	25	54.9	No		DNA	231012_6A	231012	2310	SB	231012_6A-SBb1 SB026	6A	2310-6A	10-6A	Autumn	Autumn	Underground
